Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK,Minimal Network,Network
837,2.2162771941503396,2.146896554090429,2.0978606849750405,2.1860561703793864,1.9391781583328325,2.2128465403044624,,
838,2.2159532073612964,2.1466739630353646,2.0974754263958437,2.1858260894269175,1.938831395354182,2.212441027133779,,
839,2.2158496620064203,2.1461270589071892,2.096930765144007,2.185620786955997,1.9385422197776363,2.2119643296825924,,
840,2.215664408092282,2.1457932236835537,2.096491085843134,2.1853810428332805,1.9380558324380668,2.211756496327093,,
841,2.2155069381254253,2.145247584850268,2.0960930058451406,2.184967515325402,1.937697099115799,2.2114162737991863,,
842,2.2153279411169056,2.1451514286018067,2.0958346794183607,2.184402804732949,1.9375380265509141,2.2111647754990975,,
843,2.214860114821753,2.14491785798455,2.095446866533101,2.1841410068647606,1.9369357238301106,2.2109624520371964,,
844,2.214616751928125,2.1448654840058605,2.09497675674924,2.1837564555077273,1.9368718980749464,2.2107891964927586,,
845,2.2145779933124228,2.1446719631186006,2.094724826832502,2.1836650708331615,1.936288557978169,2.2106806072204095,,
846,2.2145594510652935,2.144624062909092,2.0946846042527216,2.183535002525863,1.9361604707094038,2.2105140099341,,
847,2.214154449179202,2.1443921419985217,2.093988861649128,2.183279690792899,1.935851175560914,2.210349500733757,,
848,2.2139648546386828,2.1442022240860648,2.093619925542972,2.1829750996548003,1.9356971809402879,2.2100519007262984,,
849,2.213763322318653,2.1439422064544114,2.0933642680652005,2.1822947483409445,1.935550045745314,2.2097378261090395,,
850,2.2135253601686133,2.1437063752611545,2.0929081830314273,2.182225139570746,1.9354566182255757,2.2096006123284617,,
851,2.2130203275453515,2.143340247395908,2.09258246736025,2.182141193731095,1.9350692959941687,2.2093583569550272,,
852,2.212812771777632,2.14305834108374,2.0922182157861915,2.1819647617487923,1.9350430493860866,2.2092432841041556,,
853,2.2127284761655446,2.1430062117565365,2.091966741923029,2.181930844296455,1.934648693701775,2.208841484912858,,
854,2.212677350862716,2.1428973441519763,2.0915895115618715,2.181500871866206,1.9344028096845038,2.208415644120836,,
