Timeout (ms),Bio IK,Exploitative Fusion IK,Exploitative Iterative Fusion IK,Fusion IK,Iterative Fusion IK,Minimal Fusion IK
313,0.000298964,0.000231101,0.000439865,0.00029765,0.000296529,0.00031039
314,0.000290439,0.000230276,0.000439865,0.00029765,0.000296212,0.000312459
315,0.000289625,0.000229644,0.000438493,0.00029765,0.000296212,0.000312459
316,0.000289625,0.000229644,0.00043947,0.00029765,0.000293196,0.000312459
317,0.000290799,0.000225971,0.00043971,0.000296876,0.00029474,0.000312323
318,0.000290799,0.000225971,0.000438433,0.000296876,0.000295555,0.00031163
319,0.000290935,0.000225971,0.000437364,0.000295274,0.000295555,0.00031163
320,0.000293133,0.000225538,0.000438395,0.000295274,0.000295555,0.00031163
321,0.000293133,0.000224122,0.000439014,0.000295274,0.000291745,0.000312497
322,0.000288901,0.000223892,0.000439262,0.000293903,0.000294083,0.000312497
323,0.000288901,0.000226209,0.000437351,0.000293903,0.000294083,0.000308743
324,0.000290994,0.000225763,0.000438728,0.000293903,0.000294083,0.000308711
325,0.000285093,0.000225763,0.000438161,0.00029158,0.000294083,0.000307432
326,0.000284833,0.000225763,0.000438161,0.00029158,0.000293185,0.000304809
327,0.000284833,0.00022608,0.000433559,0.000293584,0.000295099,0.000304809
328,0.000280393,0.00022608,0.000435391,0.000293584,0.000295099,0.000304809
329,0.0002789,0.000227441,0.000435391,0.000292867,0.00029265,0.000304809
330,0.000280935,0.000229255,0.000432505,0.000288469,0.000285635,0.000302167
331,0.000280935,0.000229204,0.000432263,0.000290926,0.000285635,0.000300551
332,0.000283836,0.000229204,0.000433451,0.000290599,0.000285635,0.000299773
333,0.000283836,0.000229204,0.000431351,0.000290599,0.000284534,0.000298344
334,0.000283836,0.00022986,0.000425034,0.000290599,0.000284534,0.000299295
335,0.000284023,0.00022986,0.000424427,0.000285071,0.000287909,0.000298953
336,0.000286168,0.00022986,0.000424427,0.000287462,0.000287909,0.000298953
337,0.000284808,0.00022986,0.000424427,0.000285362,0.000283449,0.000298953
338,0.00028602,0.000229894,0.000426845,0.000284788,0.000280895,0.000298953
339,0.00028602,0.000222932,0.000427058,0.000286215,0.000280895,0.000298953
340,0.000284619,0.000221952,0.000424665,0.000286215,0.000280895,0.000299642
341,0.000284018,0.00022291,0.000424724,0.000286215,0.000280682,0.000299642
342,0.000284018,0.00022291,0.000424724,0.000286215,0.000280518,0.000299642
343,0.000286973,0.00022291,0.000417584,0.000286215,0.000279002,0.000302175
344,0.000289602,0.00022291,0.000419036,0.000286215,0.000272546,0.000302175
345,0.000292051,0.000223563,0.000419281,0.000284603,0.000271759,0.000284839
346,0.000292051,0.000223563,0.000419079,0.000284603,0.000271759,0.000286707
347,0.000292051,0.000223563,0.000418783,0.000284422,0.000271759,0.000289212
